Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2020-02-06,1248.0,1248.3,1237.45,1239.85,1241.79,191275.0,8486.0,237523125.0,88152.0,46.09,10.85,-8.15
2020-02-05,1235.0,1248.0,1227.4,1244.2,1235.05,237226.0,5768.0,292986729.0,161694.0,68.16,20.6,9.2
2020-02-04,1210.0,1233.7,1199.0,1229.25,1219.6,211614.0,11487.0,258084843.0,94518.0,44.67,34.7,19.25
2020-02-03,1199.1,1199.1,1178.0,1193.0,1190.14,206699.0,13172.0,245999942.0,97379.0,47.11,21.1,-6.1
2020-02-01,1218.25,1227.95,1192.0,1199.0,1209.2,190380.0,9587.0,230206635.0,93064.0,48.88,35.95,-19.25
2020-01-31,1234.9,1237.8,1220.55,1225.7,1229.21,102936.0,4680.0,126529992.0,38175.0,37.09,17.25,-9.2
2020-01-30,1236.0,1239.35,1217.45,1227.1,1224.9,261904.0,10512.0,320804922.0,159731.0,60.99,21.9,-8.9
2020-01-29,1227.0,1242.0,1222.85,1235.95,1232.08,446105.0,11527.0,549638462.0,300882.0,67.45,19.15,8.95
2020-01-28,1225.9,1227.45,1213.25,1222.85,1221.96,162574.0,9362.0,198658895.0,93275.0,57.37,14.2,-3.05
2020-01-27,1237.0,1237.95,1211.5,1212.9,1220.01,437154.0,22779.0,533331348.0,292370.0,66.88,26.45,-24.1
2020-01-24,1247.7,1254.0,1239.5,1244.15,1250.28,346362.0,11082.0,433049296.0,254882.0,73.59,14.5,-3.55
2020-01-23,1242.0,1246.65,1231.85,1245.0,1241.41,130687.0,8423.0,162236515.0,60096.0,45.98,14.8,3.0
2020-01-22,1249.0,1255.45,1235.0,1240.35,1248.43,489687.0,10369.0,611338848.0,369403.0,75.44,20.45,-8.65
2020-01-21,1255.0,1255.0,1239.0,1244.15,1244.08,177060.0,7139.0,220277463.0,78783.0,44.5,16.0,-10.85
2020-01-20,1302.75,1303.8,1252.8,1254.9,1264.92,259242.0,10741.0,327920480.0,123571.0,47.67,51.0,-47.85
2020-01-17,1285.0,1285.0,1271.95,1277.85,1277.05,185105.0,5222.0,236387830.0,117120.0,63.27,13.05,-7.15
2020-01-16,1283.0,1291.2,1279.4,1287.6,1286.25,339085.0,6441.0,436147067.0,271704.0,80.13,11.8,4.6
2020-01-15,1289.45,1289.45,1274.05,1284.05,1280.35,178511.0,5926.0,228557118.0,114295.0,64.03,15.4,-5.4
2020-01-14,1293.5,1293.5,1278.0,1289.45,1287.41,4766929.0,7044.0,6136969081.0,102679.0,2.15,15.5,-4.05
2020-01-13,1285.0,1296.6,1277.3,1287.25,1287.21,4046429.0,6172.0,5208607723.0,189812.0,4.69,19.3,2.25
2020-01-10,1283.0,1286.9,1275.4,1283.2,1282.2,147090.0,6352.0,188598812.0,99770.0,67.83,11.5,0.2
2020-01-09,1263.0,1275.8,1263.0,1270.8,1271.38,143800.0,5603.0,182824235.0,68970.0,47.96,12.8,7.8
2020-01-08,1250.0,1261.3,1240.0,1257.05,1244.93,2299367.0,6147.0,2862561934.0,2234314.0,97.17,21.3,7.05
2020-01-07,1258.3,1271.75,1252.2,1260.85,1265.81,594878.0,6962.0,753003123.0,475489.0,79.93,19.55,2.55
2020-01-06,1265.8,1265.8,1236.0,1241.15,1251.68,574250.0,8176.0,718775766.0,508762.0,88.6,29.8,-24.65
2020-01-03,1289.0,1289.0,1263.0,1268.1,1271.05,1100857.0,5701.0,1399249274.0,1034354.0,93.96,26.0,-20.9
2020-01-02,1278.0,1287.9,1277.5,1286.65,1284.67,41084.0,2219.0,52779249.0,16449.0,40.04,10.4,8.65
2020-01-01,1275.0,1280.4,1271.0,1279.05,1277.22,44876.0,2304.0,57316403.0,21684.0,48.32,9.4,4.05
2019-12-31,1286.8,1286.8,1269.0,1271.8,1273.14,45369.0,3413.0,57761244.0,23784.0,52.42,17.8,-15.0
2019-12-30,1280.0,1288.5,1274.8,1280.85,1279.36,713086.0,6298.0,912290991.0,326730.0,45.82,13.7,0.85
2019-12-27,1278.0,1279.0,1270.0,1274.9,1275.15,83333.0,3238.0,106262395.0,42217.0,50.66,9.0,-3.1
2019-12-26,1297.4,1297.4,1265.1,1271.55,1279.16,106498.0,4892.0,136228486.0,45371.0,42.6,32.3,-25.85
2019-12-24,1302.0,1302.0,1287.0,1289.3,1293.59,115983.0,3822.0,150033940.0,62354.0,53.76,15.0,-12.7
2019-12-23,1296.35,1303.7,1289.35,1302.3,1297.81,74794.0,3495.0,97068763.0,23310.0,31.17,14.35,5.95
2019-12-20,1289.4,1299.6,1280.0,1296.2,1291.94,108046.0,5717.0,139589203.0,42225.0,39.08,19.6,6.8
2019-12-19,1300.0,1304.1,1286.65,1288.45,1296.13,132325.0,6235.0,171510878.0,52939.0,40.01,17.45,-11.55
2019-12-18,1276.0,1298.8,1274.15,1292.35,1286.56,282588.0,6472.0,363565562.0,139433.0,49.34,24.65,16.35
2019-12-17,1261.0,1275.0,1255.75,1272.25,1269.67,128565.0,4876.0,163235147.0,54296.0,42.23,19.25,11.25
2019-12-16,1264.3,1269.1,1248.6,1257.3,1253.82,198041.0,9541.0,248307715.0,117255.0,59.21,20.5,-7.0
2019-12-13,1267.0,1272.0,1259.2,1262.8,1266.96,93765.0,4506.0,118796491.0,32175.0,34.31,12.8,-4.2
2019-12-12,1254.0,1269.9,1252.0,1263.45,1262.85,177483.0,4908.0,224133606.0,73950.0,41.67,17.9,9.45
2019-12-11,1252.5,1254.0,1213.15,1248.7,1246.27,111694.0,5923.0,139200702.0,49657.0,44.46,40.85,-3.8
